antecedents,consequents,support,confidence,lift
frozenset({'Recency_Low'}),frozenset({'Total_Spent_Med'}),0.12276785714285714,0.3604193971166448,1.083677113478234
frozenset({'Total_Spent_Med'}),frozenset({'Recency_Low'}),0.12276785714285714,0.3691275167785235,1.0836771134782341
frozenset({'Total_Spent_High'}),frozenset({'Recency_Med'}),0.11294642857142857,0.33868808567603753,1.0378403719758196
frozenset({'Recency_Med'}),frozenset({'Total_Spent_High'}),0.11294642857142857,0.34610123119015046,1.0378403719758194
frozenset({'Recency_Med'}),frozenset({'Total_Spent_Low'}),0.11339285714285714,0.347469220246238,1.0405495365662742
frozenset({'Total_Spent_Low'}),frozenset({'Recency_Med'}),0.11339285714285714,0.339572192513369,1.0405495365662745
"frozenset({'Engagement_Score_High', 'Response_0'})",frozenset({'Customer_Seniority_High'}),0.10133928571428572,0.41347905282331515,1.2415456813997667
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Engagement_Score_High'}),0.10133928571428572,0.4017699115044248,1.2801772429159481
frozenset({'Engagement_Score_High'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.10133928571428572,0.3229018492176387,1.2801772429159481
frozenset({'Customer_Seniority_High'}),"frozenset({'Engagement_Score_High', 'Response_0'})",0.10133928571428572,0.30428954423592497,1.2415456813997667
"frozenset({'Engagement_Score_Low', 'Customer_Seniority_High'})",frozenset({'Response_0'}),0.07678571428571429,0.8775510204081634,1.0313296357367712
frozenset({'Response_0'}),"frozenset({'Engagement_Score_Low', 'Customer_Seniority_High'})",0.07678571428571429,0.09024134312696748,1.0313296357367712
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Income_Low'}),0.09330357142857143,0.36991150442477877,1.1092393171506085
frozenset({'Income_Low'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.09330357142857143,0.27978580990629187,1.1092393171506085
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Income_Med'}),0.08660714285714285,0.3433628318584071,1.0310090393603646
frozenset({'Income_Med'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.08660714285714285,0.26005361930294907,1.0310090393603646
"frozenset({'NumWebPurchases_High', 'Response_0'})",frozenset({'Customer_Seniority_High'}),0.084375,0.378,1.1350134048257374
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'NumWebPurchases_High'}),0.084375,0.3345132743362832,1.193168367059354
frozenset({'NumWebPurchases_High'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.084375,0.30095541401273884,1.193168367059354
frozenset({'Customer_Seniority_High'}),"frozenset({'NumWebPurchases_High', 'Response_0'})",0.084375,0.25335120643431636,1.1350134048257372
